Team: 100 Thieves, Player: Boostio, Mouse: Lamzu Maya X Pink, Hz: 8000.0, DPI: 800.0, Sens: 0.233, eDPI: 186.4, Scoped Sens: 1.0, Monitor: LG ULTRAGEAR 27GN750-B, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: HyperX Cloud II, Chair: NULL
Team: DetonatioN FocusMe, Player: Meiy, Mouse: Razer Viper V3 Pro Black, Hz: 8000.0, DPI: 800.0, Sens: 0.175, eDPI: 140.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1600x1080, Mousepad: WALLHACK SP-004 Black, Keyboard: Wooting 60HE+, Headset: NULL, Chair: NULL
Team: DetonatioN FocusMe, Player: takej, Mouse: ZOWIE EC2-CW, Hz: 1000.0, DPI: 1600.0, Sens: 0.15, eDPI: 240.0, Scoped Sens: 0.85, Monitor: ZOWIE XL2546S, Resolution: 1280x960, Mousepad: SteelSeries QcK Heavy, Keyboard: Logitech G713, Headset: Logitech G Pro X Headset, Chair: NULL
Team: DetonatioN FocusMe, Player: Jinboong, Mouse: VAXEE ZYGEN NP-01S Wireless Orange, Hz: 4000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: NULL, Resolution: 1680x1050, Mousepad: Artisan Hayate Otsu Mid Wine Red, Keyboard: SteelSeries Apex Pro Mini Black, Headset: NULL, Chair: NULL
Team: Dplus KIA, Player: Rico, Mouse: Logitech G Pro X Superlight 2 White, Hz: 1000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 0.75, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: Kurosun Ninja Speed, Keyboard: SteelSeries Apex Pro TKL (2023), Headset: NULL, Chair: NULL
Team: Dragon Ranger Gaming, Player: vo0kashu, Mouse: Logitech G Pro X Superlight 2 Magenta, Hz: 1000.0, DPI: 800.0, Sens: 0.211, eDPI: 168.8, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: VAXEE PB ZYGEN, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: Dragon Ranger Gaming, Player: Dingwei, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.207, eDPI: 165.6, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: VAXEE PB Black, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Dragon Ranger Gaming, Player: Nicc, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.21, eDPI: 168.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: VAXEE PA Pcute 2025HNY, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Dragon Ranger Gaming, Player: Shion7, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Razer Gigantus V2, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: DRX, Player: MaKo, Mouse: Razer DeathAdder V3 Pro Faker Edition, Hz: 1000.0, DPI: 400.0, Sens: 0.45, eDPI: 180.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546S, Resolution: 1920x1080, Mousepad: SteelSeries QcK Heavy, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro White, Chair: Razer Iskur V2
Team: DRX, Player: Lothar, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.2, eDPI: 320.0, Scoped Sens: 1.0, Monitor: AOC AG251FZ, Resolution: 2560x1440, Mousepad: Razer Gigantus V2, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: Logitech G x Herman Miller Embody
Team: DRX, Player: free1ng, Mouse: Razer Viper V3 Pro White, Hz: 1000.0, DPI: 400.0, Sens: 0.4, eDPI: 160.0, Scoped Sens: 1.0, Monitor: NULL, Resolution: NULL, Mousepad: Artisan Raiden FX XSoft, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro White, Chair: Razer Iskur V2
Team: DRX, Player: Flashback, Mouse: Razer Viper V3 Pro Gengar Edition, Hz: 4000.0, DPI: 400.0, Sens: 0.4, eDPI: 160.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Raiden FX XSoft, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro White, Chair: Razer Iskur V2
Team: DRX, Player: HYUNMIN, Mouse: Razer Viper V3 Pro White, Hz: 1000.0, DPI: 400.0, Sens: 0.4, eDPI: 160.0, Scoped Sens: 1.0, Monitor: NULL, Resolution: 1920x1080, Mousepad: Artisan Raiden FX XSoft, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro White, Chair: Razer Iskur V2
Team: DRX, Player: BeYN, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.35, eDPI: 280.0, Scoped Sens: 0.9, Monitor: NULL, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: Razer Iskur V2
Team: DRX, Player: Athan, Mouse: Razer Viper V3 Pro Faker Edition, Hz: 1000.0, DPI: 800.0, Sens: 0.32, eDPI: 256.0, Scoped Sens: 1.0, Monitor: NULL, Resolution: NULL, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro White, Chair: Razer Iskur V2
Team: DRX, Player: Estrella, Mouse: Razer Viper V3 Pro Faker Edition, Hz: 1000.0, DPI: 400.0, Sens: 0.55, eDPI: 220.0, Scoped Sens: 1.0, Monitor: NULL, Resolution: 1280x960, Mousepad: NULL, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro White, Chair: Razer Iskur V2
Team: DRX Changers, Player: YOME, Mouse: Razer Viper V3 Pro White, Hz: 2000.0, DPI: 400.0, Sens: 0.535, eDPI: 214.0, Scoped Sens: 0.8, Monitor: Acer Predator XB252Q, Resolution: 1920x1080, Mousepad: Razer Gigantus V2, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: DRX Changers, Player: Ache, Mouse: Razer Viper V3 Pro White, Hz: 8000.0, DPI: 1600.0, Sens: 0.17, eDPI: 272.0, Scoped Sens: 0.875, Monitor: ZOWIE XL2540K, Resolution: 1920x1080, Mousepad: Artisan FX Hien Soft Black, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Edward Gaming, Player: nobody, Mouse: Razer DeathAdder V3 HyperSpeed, Hz: 1000.0, DPI: 800.0, Sens: 0.278, eDPI: 222.4, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: SteelSeries QcK Large, Keyboard: Razer Huntsman V3 Pro Mini White, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Edward Gaming, Player: Smoggy, Mouse: Razer Viper V3 Pro White, Hz: 2000.0, DPI: 1600.0, Sens: 0.155, eDPI: 248.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Type-99 Matcha, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: Edward Gaming, Player: ZmjjKK, Mouse: Razer Viper V3 Pro Faker Edition, Hz: 4000.0, DPI: 1600.0, Sens: 0.1, eDPI: 160.0, Scoped Sens: 1.3, Monitor: ZOWIE XL2566X+, Resolution: 1280x960, Mousepad: Artisan Type-99 Matcha, Keyboard: Razer Huntsman V3 Pro Mini White, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: Edward Gaming, Player: CHICHOO, Mouse: Logitech G Pro X Superlight 2 White, Hz: 1000.0, DPI: 800.0, Sens: 0.21, eDPI: 168.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566X+, Resolution: 1280x960, Mousepad: Artisan Ninja FX Zero Mid Orange, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II Pink, Chair: NULL
Team: Eintracht Frankfurt, Player: azury, Mouse: Razer Viper V2 Pro White, Hz: 1000.0, DPI: 1600.0, Sens: 0.1, eDPI: 160.0, Scoped Sens: 1.1, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Razer Gigantus Elite, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: Eintracht Frankfurt, Player: stev0rr, Mouse: Finalmouse Ultralight X Medium, Hz: 1000.0, DPI: 800.0, Sens: 0.24, eDPI: 192.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566X+, Resolution: 1920x1080, Mousepad: NZXT Zone Elite, Keyboard: NZXT Function Elite MiniTKL, Headset: NZXT Relay, Chair: NULL
Team: Enterprise Esports, Player: Kiles, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 800.0, Sens: 0.431, eDPI: 344.8, Scoped Sens: 1.0, Monitor: ZOWIE XL2540, Resolution: 1280x960, Mousepad: VAXEE PA ZYGEN, Keyboard: Logitech G Pro X Keyboard, Headset: Logitech G Pro X Headset, Chair: NULL
Team: Enterprise Esports, Player: Doma, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.25, eDPI: 200.0, Scoped Sens: 0.875, Monitor: SONY INZONE M10S, Resolution: 1280x1024, Mousepad: Artisan Hayate Otsu Soft Black, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Logitech G Pro X Headset, Chair: NULL
Team: Enterprise Esports, Player: Zeek, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.175, eDPI: 280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: Artisan FX Hien Soft Black, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: Secretlab Titan EVO 2022
Team: Eternal Fire, Player: Brave, Mouse: Endgame Gear XM2we, Hz: 1000.0, DPI: 400.0, Sens: 0.85, eDPI: 340.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Logitech G Pro X Keyboard, Headset: Logitech G Pro X Headset, Chair: NULL
Team: Eternal Fire, Player: QutionerX, Mouse: Logitech G Pro X Superlight Red, Hz: 1000.0, DPI: 800.0, Sens: 0.214, eDPI: 171.2, Scoped Sens: NULL, Monitor: ZOWIE XL2546, Resolution: 1280x960, Mousepad: Corsair MM350 Champion Series, Keyboard: HyperX Alloy Elite, Headset: HyperX Cloud II, Chair: NULL
Team: Eternal Fire, Player: Izzy, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 400.0, Sens: 0.506, eDPI: 202.4, Scoped Sens: 0.852, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: NULL, Keyboard: Corsair K70 RGB, Headset: HyperX Cloud II, Chair: NULL
Team: Evil Geniuses, Player: yay, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 1000.0, DPI: 800.0, Sens: 0.38, eDPI: 304.0, Scoped Sens: 0.8, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: WALLHACK SY-001, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: Logitech G x Herman Miller Embody
Team: Evil Geniuses, Player: NaturE, Mouse: WLMouse BEAST X Silver, Hz: 1000.0, DPI: 800.0, Sens: 0.508, eDPI: 406.4, Scoped Sens: 0.68, Monitor: ASUS ROG SWIFT PG259QN, Resolution: 1920x1080, Mousepad: Logitech G640 Original, Keyboard: Logitech G915 TKL Carbon, Headset: NULL, Chair: NULL
Team: Evil Geniuses, Player: supamen, Mouse: Logitech G Pro X Superlight 2 White, Hz: 2000.0, DPI: 800.0, Sens: 0.284, eDPI: 227.2, Scoped Sens: 0.85, Monitor: ZOWIE XL2540, Resolution: 1920x1080, Mousepad: Lethal Gaming Gear Saturn Pro Red, Keyboard: Corsair K65 TKL, Headset: HyperX Cloud II, Chair: NULL
Team: Evil Geniuses, Player: icy, Mouse: Logitech G Pro X Superlight 2 Dex White, Hz: 1000.0, DPI: 1600.0, Sens: 0.155, eDPI: 248.0, Scoped Sens: 0.95, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Orange, Keyboard: Razer Huntsman V3 Pro TKL White, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Evil Geniuses, Player: derrek, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 2000.0, DPI: 800.0, Sens: 0.34, eDPI: 272.0, Scoped Sens: 0.9, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: Artisan FX Hien Soft Black, Keyboard: Higround Basecamp 65, Headset: HyperX Cloud II, Chair: MAVIX M9
Team: Falcons Vega, Player: Alexy, Mouse: Razer Viper V3 Pro White, Hz: 8000.0, DPI: 1600.0, Sens: 0.15, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1680x1050, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro Black, Chair: Secretlab Titan EVO 2022
Team: Falcons Vega, Player: Kamiyu, Mouse: Razer Viper V3 Pro White, Hz: 4000.0, DPI: 1600.0, Sens: 0.159, eDPI: 254.4, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1280x1024, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Falcons Vega, Player: enerii, Mouse: Razer Viper V3 Pro White, Hz: 8000.0, DPI: 800.0, Sens: 0.24, eDPI: 192.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1440x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: FENNEL, Player: neth, Mouse: Fnatic x Lamzu Thorn, Hz: 4000.0, DPI: 800.0, Sens: 0.2, eDPI: 160.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: InfinityMice Shogun, Keyboard: Wooting 60HE+, Headset: NULL, Chair: NULL
Team: Fnatic, Player: PROD, Mouse: Logitech G Pro X Superlight White, Hz: 1000.0, DPI: 800.0, Sens: 0.52, eDPI: 416.0, Scoped Sens: 1.1, Monitor: Alienware AW2518H, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Bi, Keyboard: Matrix x sinatraa Keyboard, Headset: HyperX Cloud II, Chair: NULL
Team: Fnatic, Player: kaajak, Mouse: Fnatic x Lamzu Maya X 8K, Hz: 1000.0, DPI: 1600.0, Sens: 0.1, eDPI: 160.0, Scoped Sens: NULL, Monitor: SONY INZONE M10S, Resolution: 1920x1080, Mousepad: Lethal Gaming Gear Saturn Pro Red, Keyboard: Wooting 60HE+, Headset: Logitech G PRO X 2 Headset Black, Chair: Blacklyte Kraken Pro
Team: Fnatic, Player: Chronicle, Mouse: Pulsar Xlite V3 Es Black, Hz: 1000.0, DPI: 800.0, Sens: 0.25, eDPI: 200.0, Scoped Sens: 0.95, Monitor: SONY INZONE M10S, Resolution: 1280x960, Mousepad: La Onda Rizz Doodle Mid, Keyboard: Razer Huntsman V3 Pro TKL White, Headset: Sony INZONE H9, Chair: Blacklyte Kraken Pro
Team: Fnatic, Player: Boaster, Mouse: Ninjutso Sora V2 Black, Hz: 1000.0, DPI: 800.0, Sens: 0.24, eDPI: 192.0, Scoped Sens: 1.0, Monitor: SONY INZONE M10S, Resolution: 1920x1080, Mousepad: Kurosun Samurai, Keyboard: Razer Huntsman V3 Pro TKL White, Headset: Logitech G Pro X Headset, Chair: Blacklyte Kraken Pro
Team: Fnatic, Player: Leo, Mouse: Razer Deathadder V3 Pro White, Hz: 1000.0, DPI: 400.0, Sens: 0.41, eDPI: 164.0, Scoped Sens: 1.0, Monitor: SONY INZONE M10S, Resolution: 1280x1024, Mousepad: Artisan Ninja FX Zero XSoft Orange, Keyboard: Wooting 60HE+, Headset: Sony INZONE H9, Chair: Blacklyte Kraken Pro
Team: Fnatic, Player: crashies, Mouse: Fnatic x Lamzu Maya X 8K, Hz: 8000.0, DPI: 800.0, Sens: 0.23, eDPI: 184.0, Scoped Sens: 0.875, Monitor: SONY INZONE M10S, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Wooting 60HE+, Headset: Sennheiser GAME ZERO, Chair: Blacklyte Kraken Pro
Team: Fnatic, Player: Alfajer, Mouse: Razer DeathAdder (2025 Unreleased), Hz: 1000.0, DPI: 400.0, Sens: 0.45, eDPI: 180.0, Scoped Sens: 1.0, Monitor: SONY INZONE M10S, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Orange, Keyboard: Razer Huntsman V3 Pro TKL White, Headset: HyperX Cloud II, Chair: Blacklyte Kraken Pro
Team: Fokus Clan, Player: al0rante, Mouse: Razer Deathadder V3 Pro Black, Hz: 4000.0, DPI: 800.0, Sens: 0.175, eDPI: 140.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: SteelSeries QcK Heavy, Keyboard: Razer Huntsman V2 TKL, Headset: Razer BlackShark V2, Chair: NULL
Team: Fokus Clan, Player: hoody, Mouse: Razer Viper V3 Pro White, Hz: 1000.0, DPI: 400.0, Sens: 0.628, eDPI: 251.2, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Logitech G640 Original, Keyboard: NULL, Headset: Logitech G Pro X Headset, Chair: NULL
Team: Fokus Clan, Player: Mistic, Mouse: Logitech G Pro X Superlight Magenta, Hz: 1000.0, DPI: 800.0, Sens: 0.24, eDPI: 192.0, Scoped Sens: 1.0, Monitor: Alienware AW2523HF, Resolution: 1280x960, Mousepad: Kurosun Samurai, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: Secretlab x Team Liquid Gaming Chair
Team: Fokus Clan, Player: Kuba, Mouse: Razer Viper V3 Pro Black, Hz: 2000.0, DPI: 400.0, Sens: 0.4, eDPI: 160.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Wooting 60HE+, Headset: JBL Quantum One, Chair: NULL
Team: Free Agent, Player: Apoth, Mouse: Logitech G Pro X Superlight Black, Hz: NULL, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: NULL, Monitor: NULL, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Corsair K95 RGB PLATINUM, Headset: HyperX Cloud Alpha, Chair: NULL
Team: Free Agent, Player: ceNder, Mouse: Razer Deathadder V3 Pro White, Hz: 1000.0, DPI: 400.0, Sens: 0.35, eDPI: 140.0, Scoped Sens: 1.0, Monitor: AlienWare AW2518HF, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Ducky One 2 Mini, Headset: HyperX Cloud Alpha S, Chair: Secretlab Titan Evo Vitality Edition
Team: Free Agent, Player: Rap1d, Mouse: Finalmouse Ultralight X Medium, Hz: 4000.0, DPI: 1600.0, Sens: 0.1, eDPI: 160.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Yuki Aim 65% Keyboard, Headset: HyperX Cloud III, Chair: NULL
Team: Free Agent, Player: SuperBusS, Mouse: ZOWIE EC1-CW, Hz: 1000.0, DPI: 800.0, Sens: 0.29, eDPI: 232.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Custom Keyboard, Headset: HyperX Cloud III Wireless, Chair: NULL
Team: Free Agent, Player: neptuNo, Mouse: Logitech G305, Hz: 1000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1600x900, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Ducky One 2 TKL, Headset: Logitech G Pro X Headset, Chair: NULL
Team: Free Agent, Player: Aika, Mouse: Razer Viper V3 Pro White, Hz: 8000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ASUS TUF VG259QM, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Free Agent, Player: runi, Mouse: Logitech G Pro X Superlight 2 Magenta, Hz: 1000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Gris, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: Secretlab Cloud9 Edition
Team: Free Agent, Player: ZachaREEE, Mouse: FinalMouse Starlight-12, Hz: 1000.0, DPI: 800.0, Sens: 0.52, eDPI: 416.0, Scoped Sens: 1.0, Monitor: ASUS ROG SWIFT PG258Q, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Deep Blue, Keyboard: Varmilo VA87M Summit, Headset: Sennheiser GAME ONE, Chair: NULL
Team: Free Agent, Player: jonba, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 800.0, Sens: 0.27, eDPI: 216.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2540, Resolution: 1680x1050, Mousepad: ZOWIE G-SR-SE Blue, Keyboard: Razer Huntsman Mini, Headset: HyperX Cloud Alpha, Chair: NULL
Team: Free Agent, Player: KRYPTIX, Mouse: ZOWIE EC2-CW, Hz: 1000.0, DPI: 400.0, Sens: 0.471, eDPI: 188.4, Scoped Sens: 0.8, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Zowie G-SR II, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Free Agent, Player: HUYNH, Mouse: Razer Viper V3 Pro White, Hz: 1000.0, DPI: 800.0, Sens: 0.32, eDPI: 256.0, Scoped Sens: 0.82, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Zowie G-SR II, Keyboard: Razer Huntsman V3 Pro TKL White, Headset: Razer BlackShark V2 Pro White, Chair: Razer Iskur V2
Team: Free Agent, Player: ChiaWei, Mouse: Razer Viper Mini Signature Edition, Hz: 1000.0, DPI: 1600.0, Sens: 0.11, eDPI: 176.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1280x960, Mousepad: Zowie G-SR II, Keyboard: Wooting 60HE+, Headset: HyperX Cloud Alpha S, Chair: NULL
Team: Free Agent, Player: TS, Mouse: Logitech G Pro X Superlight White, Hz: 1000.0, DPI: 400.0, Sens: 0.583, eDPI: 233.0, Scoped Sens: 1.0, Monitor: ASUS ROG XG258Q, Resolution: 1920x1080, Mousepad: ZOWIE G-SR, Keyboard: Logitech G915 TKL Carbon, Headset: Logitech G Pro X Headset, Chair: NULL
Team: Free Agent, Player: Patiphan, Mouse: Endgame Gear XM1R, Hz: 1000.0, DPI: 1400.0, Sens: 0.5, eDPI: 700.0, Scoped Sens: 0.92, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: Yuki Aim Oni Black, Keyboard: Custom Keyboard, Headset: Sennheiser GAME ZERO, Chair: NULL
Team: Free Agent, Player: dicey, Mouse: Razer DeathAdder V3 Pro Faker Edition, Hz: 4000.0, DPI: 800.0, Sens: 0.32, eDPI: 256.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: Yuki Aim Oni Black, Keyboard: Ducky One 2 Mini, Headset: Sennheiser GAME ONE, Chair: Razer Iskur V2
Team: Free Agent, Player: ban, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.2, eDPI: 320.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1440x1080, Mousepad: Yuki Aim Kitsune, Keyboard: Varmilo MA Series V2 Yakumo White TKL, Headset: Corsair HS80 RGB USB, Chair: NULL
Team: Free Agent, Player: k1Ng, Mouse: VAXEE E1 Wireless Red, Hz: 1000.0, DPI: 400.0, Sens: 0.38, eDPI: 152.0, Scoped Sens: 0.95, Monitor: ZOWIE XL2546S, Resolution: 1280x960, Mousepad: VAXEE PE Kumo, Keyboard: Corsair K70 RGB, Headset: HyperX Cloud II, Chair: NULL
Team: Free Agent, Player: d3ffo, Mouse: VAXEE ZYGEN NP-01, Hz: 1000.0, DPI: 800.0, Sens: 0.406, eDPI: 324.8, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1280x960, Mousepad: VAXEE PA ZYGEN, Keyboard: Logitech G Pro Keyboard, Headset: Sennheiser GAME ZERO, Chair: NULL
Team: Free Agent, Player: AC, Mouse: Razer DeathAdder V3 Pro Faker Edition, Hz: 8000.0, DPI: 400.0, Sens: 0.65, eDPI: 260.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: VAXEE PA Y22, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Free Agent, Player: ngiN, Mouse: Razer Deathadder V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.244, eDPI: 195.2, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: VAXEE PA Summer22, Keyboard: Razer BlackWidow V3 Pro, Headset: HyperX Cloud II, Chair: NULL
Team: Free Agent, Player: rin, Mouse: VAXEE ZYGEN NP-01S Wireless Orange, Hz: NULL, DPI: NULL, Sens: NULL, eDPI: NULL, Scoped Sens: NULL, Monitor: ZOWIE XL2566K, Resolution: NULL, Mousepad: VAXEE PA Pcute, Keyboard: Logitech G715, Headset: NULL, Chair: NULL
Team: Free Agent, Player: FirstLove, Mouse: Razer Viper V3 Pro White, Hz: 2000.0, DPI: 1600.0, Sens: 0.25, eDPI: 400.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: VAXEE PA Pcute, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: HyperX Cloud III Wireless, Chair: NULL
Team: Free Agent, Player: fl1pzjder, Mouse: Finalmouse Ultralight X Medium, Hz: 1000.0, DPI: 400.0, Sens: 0.534, eDPI: 213.6, Scoped Sens: 0.7, Monitor: NULL, Resolution: 1920x1080, Mousepad: VAXEE PA FunSpark V2, Keyboard: NULL, Headset: NULL, Chair: NULL
